student_id,age,gender,state,urban_rural,family_income,12th_stream,10th_percentage,12th_percentage,school_board,school_tier,JEE_Main_percentile,JEE_Advanced_rank,NEET_percentile,NEET_rank,CUET_score,logical_reasoning,quantitative_ability,verbal_ability,abstract_reasoning,spatial_reasoning,interest_technology,interest_healthcare,interest_business,interest_creative_arts,interest_social_service,interest_research,leadership,teamwork,creativity,analytical_thinking,communication,preferred_location,budget_constraint_lakhs,career_goal_timeline,work_preference,risk_tolerance,has_sports,has_cultural,volunteering_hours,num_certifications,num_projects,career_path_year1,career_trajectory,career_year2,career_year3,career_year4,career_year5
STU_000010,16,Female,Delhi,Urban,10-20 Lakhs,Commerce,74.79,79.06,CBSE,Tier 3,,,,,,6.8,6.1,5.9,7.9,7.0,4.3,4.6,3.2,3.7,2.1,3.1,2.9,3.6,3.8,2.5,5.0,Home State,5,5 years,Research,Medium,False,False,20,0,1,BBA,"['BBA', 'BBA', 'Business Analyst', 'Manager', 'Senior Manager']",BBA,Business Analyst,Manager,Senior Manager
STU_000011,17,Male,Haryana,Urban,10-20 Lakhs,Science-PCB,83.89,82.46,State Board,Tier 3,,,,,,3.8,5.8,7.6,5.6,5.9,2.3,3.5,1.6,3.2,2.3,1.0,4.0,3.4,5.0,4.8,2.6,Home State,5,4 years,Job,Medium,False,False,10,2,2,BDS,"['BDS', 'BDS', 'BDS', 'BDS']",BDS,BDS,BDS,BDS
STU_000012,16,Female,Gujarat,Semi-Urban,5-10 Lakhs,Arts,60.54,70.4,State Board,Tier 1,,,,,,6.1,8.3,7.0,6.1,9.2,3.9,2.5,5.0,4.4,4.7,2.6,3.9,2.3,4.0,3.1,2.2,Home State,10,4 years,Government,High,True,True,10,1,1,Law (BA LLB),"['Law (BA LLB)', 'Entry Level', 'Junior Professional', 'Professional']",Entry Level,Junior Professional,Professional,Professional
STU_000013,18,Female,Andhra Pradesh,Urban,<5 Lakhs,Science-PCM,73.77,83.84,ICSE,Tier 3,,,,,352.0,6.3,9.0,5.5,6.6,5.8,4.9,2.2,4.5,2.3,1.7,2.8,3.3,5.0,3.5,3.5,4.8,Pan India,5,4 years,Job,Low,False,False,0,0,3,Mechanical Engineering,"['Mechanical Engineering', 'Entry Level', 'Entry Level', 'Professional']",Entry Level,Entry Level,Professional,Professional
STU_000014,18,Female,Karnataka,Urban,<5 Lakhs,Science-PCMB,81.01,91.96,ICSE,Tier 3,,,64.75,705000.0,,6.2,10.0,9.0,5.6,7.3,4.1,4.6,2.1,3.7,3.8,1.0,1.9,1.9,2.9,4.0,4.8,Home State,10,6+ years,Government,Low,True,True,50,1,0,Computer Science Engineering,"['Computer Science Engineering', 'Software Engineer', 'Data Scientist', 'ML Engineer', 'Product Manager', 'Senior Software Engineer']",Software Engineer,Data Scientist,ML Engineer,Product Manager
STU_000015,16,Male,Karnataka,Semi-Urban,<5 Lakhs,Science-PCM,75.74,61.63,ICSE,Tier 2,,,,,,7.4,3.3,8.6,4.5,6.6,2.7,5.0,3.2,4.2,2.6,3.1,3.6,3.1,1.9,2.0,3.4,Nearby States,5,6+ years,Job,Low,True,True,0,0,1,Information Technology,"['Information Technology', 'Information Technology', 'Junior Professional', 'Professional', 'Senior Professional', 'Lead Professional']",Information Technology,Junior Professional,Professional,Senior Professional
STU_000016,18,Female,Rajasthan,Rural,20-50 Lakhs,Science-PCM,70.11,85.66,State Board,Tier 1,,,,,,5.1,5.5,4.2,10.0,5.3,2.9,1.0,4.1,1.5,2.5,3.8,2.1,3.6,4.7,1.0,2.7,Home State,2,4 years,Job,Low,False,False,0,3,1,Mechanical Engineering,"['Mechanical Engineering', 'Mechanical Engineering', 'Junior Professional', 'Professional']",Mechanical Engineering,Junior Professional,Professional,Professional
STU_000017,18,Female,Tamil Nadu,Semi-Urban,5-10 Lakhs,Science-PCB,65.95,81.61,ICSE,Tier 2,,,55.56,888800.0,697.0,3.7,4.5,6.6,7.4,5.8,1.9,3.6,3.0,2.5,1.0,3.6,3.1,4.9,3.1,3.9,4.1,Nearby States,5,5 years,Job,High,False,False,20,0,2,B.Pharm,"['B.Pharm', 'Pharmacist', 'Clinical Pharmacist', 'Senior Pharmacist', 'Pharmacy Manager']",Pharmacist,Clinical Pharmacist,Senior Pharmacist,Pharmacy Manager
STU_000018,18,Female,Maharashtra,Semi-Urban,<5 Lakhs,Science-PCB,74.34,67.1,ICSE,Tier 1,,,50.0,1000000.0,,4.7,5.8,7.8,5.0,7.1,2.4,3.6,4.8,1.0,1.5,3.3,2.8,3.8,2.6,3.4,3.3,Nearby States,15,4 years,Research,Low,False,True,0,0,2,MBBS,"['MBBS', 'Junior Doctor', 'Resident Doctor', 'Resident Doctor']",Junior Doctor,Resident Doctor,Resident Doctor,Resident Doctor
STU_000019,16,Female,Punjab,Rural,<5 Lakhs,Science-PCB,69.99,95.16,State Board,Tier 3,,,,,584.0,9.3,10.0,3.7,3.9,3.4,2.8,3.1,3.5,1.0,1.0,1.9,3.8,4.4,4.9,3.3,4.1,Pan India,2,4 years,Research,Medium,True,False,20,0,1,BAMS,"['BAMS', 'Entry Level', 'Junior Professional', 'Professional']",Entry Level,Junior Professional,Professional,Professional
STU_000020,18,Male,Madhya Pradesh,Urban,5-10 Lakhs,Commerce,85.1,74.15,State Board,Tier 3,,,,,433.0,8.1,8.3,3.6,6.5,4.2,3.0,3.2,4.1,1.6,1.0,2.9,5.0,3.3,3.2,5.0,3.9,Pan India,10,4 years,Business,Medium,False,False,10,2,3,CA,"['CA', 'Articleship', 'Qualified CA', 'Senior Accountant']",Articleship,Qualified CA,Senior Accountant,Senior Accountant
STU_000021,18,Female,Gujarat,Urban,<5 Lakhs,Science-PCM,79.19,74.5,CBSE,Tier 2,55.98,,,,,6.8,4.1,8.4,4.8,6.7,2.9,1.9,3.5,4.2,2.2,2.6,3.7,4.2,3.2,2.9,3.5,Pan India,2,5 years,Job,Low,True,False,0,2,0,Information Technology,"['Information Technology', 'Entry Level', 'Junior Professional', 'Professional', 'Senior Professional']",Entry Level,Junior Professional,Professional,Senior Professional
STU_000022,18,Male,Karnataka,Semi-Urban,<5 Lakhs,Arts,72.31,68.04,CBSE,Tier 3,,,,,,9.9,6.6,6.2,6.0,6.1,3.4,2.3,2.6,2.8,1.8,1.9,3.1,3.3,4.7,1.0,4.4,Home State,10,4 years,Job,High,False,False,50,1,0,BA Psychology,"['BA Psychology', 'Entry Level', 'Entry Level', 'Professional']",Entry Level,Entry Level,Professional,Professional
STU_000023,16,Female,Andhra Pradesh,Rural,>50 Lakhs,Commerce,72.43,87.22,ICSE,Tier 2,,,,,,6.0,4.0,3.5,7.7,7.2,3.7,5.0,3.7,4.4,3.0,2.4,2.0,3.0,2.9,4.7,4.1,Pan India,2,6+ years,Business,Medium,False,True,50,1,1,BBA,"['BBA', 'BBA', 'Business Analyst', 'Manager', 'Senior Manager', 'Director']",BBA,Business Analyst,Manager,Senior Manager
STU_000024,18,Female,Tamil Nadu,Semi-Urban,<5 Lakhs,Science-PCMB,87.47,60.0,CBSE,Tier 2,,,,,616.0,6.0,5.9,8.4,9.7,6.8,2.9,2.5,1.8,2.9,1.0,3.3,4.8,4.1,2.7,3.8,4.9,Nearby States,2,6+ years,Job,Low,True,True,10,0,0,Biotechnology,"['Biotechnology', 'Entry Level', 'Junior Professional', 'Professional', 'Senior Professional', 'Lead Professional']",Entry Level,Junior Professional,Professional,Senior Professional
STU_000025,17,Female,Tamil Nadu,Urban,10-20 Lakhs,Science-PCM,90.7,75.97,State Board,Tier 3,,,,,,7.8,7.5,6.4,6.9,5.6,3.5,1.7,3.5,1.0,2.8,2.4,3.3,2.7,1.1,2.9,2.5,Pan India,10,4 years,Job,Low,True,False,0,5,0,Information Technology,"['Information Technology', 'Information Technology', 'Junior Professional', 'Professional']",Information Technology,Junior Professional,Professional,Professional
STU_000026,17,Male,Uttar Pradesh,Urban,20-50 Lakhs,Science-PCM,60.0,77.33,CBSE,Tier 2,67.36,,,,,6.9,7.2,7.2,7.0,7.4,4.3,3.6,3.1,1.0,3.0,2.9,3.2,2.5,2.1,4.4,3.4,Pan India,15,4 years,Research,Low,False,True,10,0,0,Electrical Engineering,"['Electrical Engineering', 'Electrical Engineering', 'Junior Professional', 'Professional']",Electrical Engineering,Junior Professional,Professional,Professional
STU_000027,16,Male,Uttar Pradesh,Semi-Urban,5-10 Lakhs,Science-PCB,81.82,90.0,ICSE,Tier 2,,,69.12,617599.0,538.0,6.2,9.6,7.8,5.7,4.2,1.1,2.5,1.9,5.0,1.7,2.0,1.6,3.3,2.5,5.0,3.6,Home State,5,4 years,Government,Medium,False,True,10,0,3,BDS,"['BDS', 'Entry Level', 'Junior Professional', 'Junior Professional']",Entry Level,Junior Professional,Junior Professional,Junior Professional
STU_000028,18,Male,Haryana,Urban,10-20 Lakhs,Science-PCM,73.34,70.57,State Board,Tier 3,,,,,777.0,5.0,8.6,8.8,3.3,5.9,3.0,2.3,3.8,2.0,1.9,2.5,2.7,2.6,4.0,4.3,3.7,Home State,2,5 years,Business,Medium,False,True,0,3,0,AI/ML Engineering,"['AI/ML Engineering', 'ML Engineer', 'ML Engineer', 'Senior ML Engineer', 'ML Architect']",ML Engineer,ML Engineer,Senior ML Engineer,ML Architect
STU_000029,17,Male,Kerala,Urban,20-50 Lakhs,Science-PCM,71.23,82.56,State Board,Tier 2,,,,,,5.7,6.1,6.4,6.9,5.9,3.5,4.2,3.4,3.9,3.2,4.9,3.4,4.0,4.3,3.4,2.8,Home State,5,4 years,Government,Low,True,True,10,0,3,Electrical Engineering,"['Electrical Engineering', 'Entry Level', 'Junior Professional', 'Professional']",Entry Level,Junior Professional,Professional,Professional
STU_000030,18,Female,Kerala,Urban,10-20 Lakhs,Science-PCM,70.26,88.86,CBSE,Tier 3,77.08,,,,,4.8,6.6,8.2,6.3,5.9,2.1,3.9,3.9,5.0,2.1,2.9,3.2,4.8,3.1,3.6,3.9,Home State,20,5 years,Job,Low,False,False,20,0,1,Mechanical Engineering,"['Mechanical Engineering', 'Entry Level', 'Junior Professional', 'Junior Professional', 'Senior Professional']",Entry Level,Junior Professional,Junior Professional,Senior Professional
STU_000031,16,Male,Punjab,Urban,20-50 Lakhs,Arts,76.87,72.72,State Board,Tier 2,,,,,729.0,5.1,6.2,5.5,7.9,4.9,4.2,3.8,3.1,4.5,2.6,3.6,2.6,2.9,3.9,3.7,3.6,Pan India,30,5 years,Job,Low,True,False,0,2,2,Design,"['Design', 'Design', 'Junior Professional', 'Junior Professional', 'Senior Professional']",Design,Junior Professional,Junior Professional,Senior Professional
STU_000032,16,Male,Maharashtra,Semi-Urban,5-10 Lakhs,Commerce,80.06,77.74,CBSE,Tier 3,,,,,,7.1,7.8,6.9,7.0,4.4,3.8,4.5,3.7,1.5,2.4,3.1,2.3,2.4,2.9,2.6,3.4,Nearby States,5,5 years,Job,Medium,True,True,0,0,1,BBA,"['BBA', 'BBA', 'Business Analyst', 'Business Analyst', 'Senior Manager']",BBA,Business Analyst,Business Analyst,Senior Manager
STU_000033,16,Male,Haryana,Semi-Urban,10-20 Lakhs,Commerce,84.4,85.61,CBSE,Tier 1,,,,,461.0,6.1,3.8,6.1,8.0,4.8,4.5,3.1,1.7,1.4,3.6,3.3,3.1,3.3,3.4,4.2,4.7,Home State,20,6+ years,Business,Medium,True,True,10,1,2,B.Com,"['B.Com', 'Entry Level', 'Entry Level', 'Professional', 'Senior Professional', 'Lead Professional']",Entry Level,Entry Level,Professional,Senior Professional
STU_000034,16,Female,West Bengal,Rural,5-10 Lakhs,Science-PCMB,90.24,93.62,CBSE,Tier 1,,,,,523.0,5.0,5.6,5.7,6.7,6.6,2.9,3.0,5.0,5.0,3.0,2.7,3.1,4.0,2.2,3.0,1.9,Pan India,10,5 years,Job,Low,True,False,0,5,0,Environmental Science,"['Environmental Science', 'Entry Level', 'Junior Professional', 'Professional', 'Senior Professional']",Entry Level,Junior Professional,Professional,Senior Professional
STU_000035,18,Female,Kerala,Semi-Urban,10-20 Lakhs,Science-PCB,60.0,72.85,ICSE,Tier 3,,,55.58,888400.0,,6.8,4.2,8.4,7.3,6.4,2.8,3.4,2.9,1.0,2.4,2.5,4.0,1.7,3.4,2.1,3.7,Home State,30,4 years,Business,Low,False,True,20,0,5,BDS,"['BDS', 'BDS', 'Junior Professional', 'Professional']",BDS,Junior Professional,Professional,Professional
STU_000036,17,Male,Telangana,Rural,5-10 Lakhs,Science-PCM,94.51,72.69,CBSE,Tier 2,,,,,570.0,6.2,5.2,4.1,8.4,3.4,4.0,1.0,4.0,4.1,3.8,2.5,4.4,5.0,2.9,2.8,3.5,Home State,2,4 years,Job,Medium,True,False,10,1,1,Mechanical Engineering,"['Mechanical Engineering', 'Mechanical Engineering', 'Junior Professional', 'Professional']",Mechanical Engineering,Junior Professional,Professional,Professional
STU_000037,17,Female,Bihar,Rural,5-10 Lakhs,Commerce,70.22,86.98,ICSE,Tier 2,,,,,,1.7,8.5,4.5,7.0,4.2,2.9,5.0,3.0,3.1,3.5,3.2,3.1,3.8,5.0,3.2,3.6,Home State,20,5 years,Business,Low,False,True,10,1,2,B.Com,"['B.Com', 'Entry Level', 'Junior Professional', 'Professional', 'Senior Professional']",Entry Level,Junior Professional,Professional,Senior Professional
STU_000038,18,Male,Andhra Pradesh,Urban,5-10 Lakhs,Science-PCM,85.51,74.99,CBSE,Tier 1,,,,,,6.3,8.7,7.3,5.8,7.0,4.3,2.5,1.6,1.6,1.0,4.0,4.2,4.8,1.2,4.4,5.0,Nearby States,5,4 years,Business,Low,True,False,10,2,1,Mechanical Engineering,"['Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering']",Mechanical Engineering,Mechanical Engineering,Mechanical Engineering,Mechanical Engineering
STU_000039,18,Female,Rajasthan,Semi-Urban,5-10 Lakhs,Science-PCM,86.12,67.59,CBSE,Tier 2,58.85,,,,316.0,9.5,7.8,7.3,7.0,5.4,3.9,2.8,3.8,2.8,1.4,1.7,2.1,4.3,2.6,1.4,3.8,Nearby States,10,4 years,Job,Low,True,False,0,2,0,Electronics Engineering,"['Electronics Engineering', 'Entry Level', 'Entry Level', 'Entry Level']",Entry Level,Entry Level,Entry Level,Entry Level
STU_000040,16,Female,Gujarat,Urban,10-20 Lakhs,Science-PCM,73.56,85.17,CBSE,Tier 3,,,,,557.0,2.6,6.9,9.8,8.3,6.4,2.4,3.6,4.0,2.5,2.9,4.4,2.2,2.7,3.9,3.8,4.3,Pan India,2,4 years,Job,Low,True,True,20,1,1,Aerospace Engineering,"['Aerospace Engineering', 'Entry Level', 'Entry Level', 'Entry Level']",Entry Level,Entry Level,Entry Level,Entry Level
STU_000041,17,Male,Uttar Pradesh,Semi-Urban,5-10 Lakhs,Science-PCB,80.7,72.98,ICSE,Tier 2,,,,,,3.9,5.1,8.8,8.9,5.0,4.1,5.0,2.8,2.5,1.8,1.6,2.4,2.5,3.2,2.5,3.6,Pan India,10,5 years,Job,Low,True,True,10,5,2,Physiotherapy,"['Physiotherapy', 'Entry Level', 'Junior Professional', 'Professional', 'Professional']",Entry Level,Junior Professional,Professional,Professional
STU_000042,18,Female,Karnataka,Semi-Urban,<5 Lakhs,Science-PCB,60.0,89.8,CBSE,Tier 2,,,,,,7.0,8.7,5.7,6.0,6.4,2.6,2.7,4.2,3.8,3.4,1.4,2.8,3.2,3.6,3.6,3.5,Home State,2,4 years,Job,Low,True,True,0,0,0,Physiotherapy,"['Physiotherapy', 'Entry Level', 'Junior Professional', 'Professional']",Entry Level,Junior Professional,Professional,Professional
STU_000043,16,Male,Tamil Nadu,Urban,5-10 Lakhs,Science-PCMB,98.0,85.53,ICSE,Tier 3,,,72.9,541999.0,,6.0,5.8,6.9,5.3,7.5,4.1,3.7,2.6,2.5,1.1,2.3,2.1,4.6,3.3,3.5,3.2,Pan India,20,4 years,Business,Medium,True,False,0,1,1,MBBS,"['MBBS', 'Junior Doctor', 'Resident Doctor', 'Senior Resident']",Junior Doctor,Resident Doctor,Senior Resident,Senior Resident
STU_000044,16,Male,Uttar Pradesh,Urban,5-10 Lakhs,Science-PCB,76.98,77.03,State Board,Tier 1,,,,,491.0,7.0,6.8,5.6,7.1,5.9,3.3,1.4,1.5,1.1,2.8,2.6,1.7,4.0,4.6,2.7,1.8,Home State,2,5 years,Job,Low,False,False,10,1,1,BHMS,"['BHMS', 'Entry Level', 'Junior Professional', 'Professional', 'Senior Professional']",Entry Level,Junior Professional,Professional,Senior Professional
STU_000045,17,Male,Uttar Pradesh,Semi-Urban,<5 Lakhs,Science-PCMB,60.0,86.41,CBSE,Tier 3,,,,,,3.9,6.1,4.3,2.9,6.6,4.3,2.3,1.0,2.1,3.0,1.1,3.2,3.5,3.8,3.4,2.5,Nearby States,15,4 years,Job,Low,False,True,0,2,1,MBBS,"['MBBS', 'Junior Doctor', 'Resident Doctor', 'Senior Resident']",Junior Doctor,Resident Doctor,Senior Resident,Senior Resident
STU_000046,16,Male,Delhi,Rural,5-10 Lakhs,Arts,79.65,79.5,State Board,Tier 1,,,,,539.0,5.7,8.0,5.1,6.0,7.8,2.6,1.0,3.6,2.5,3.7,2.6,2.5,3.4,4.3,3.9,1.2,Nearby States,30,6+ years,Government,Medium,True,True,0,1,1,Mass Communication,"['Mass Communication', 'Entry Level', 'Entry Level', 'Professional', 'Senior Professional', 'Senior Professional']",Entry Level,Entry Level,Professional,Senior Professional
STU_000047,18,Female,Rajasthan,Urban,<5 Lakhs,Science-PCM,76.86,83.46,CBSE,Tier 1,49.68,,,,,8.0,7.0,4.7,7.1,7.6,2.9,3.0,4.8,5.0,3.4,3.4,2.2,3.8,3.8,3.1,2.9,Home State,5,5 years,Government,Low,True,True,0,0,3,B.Sc Physics,"['B.Sc Physics', 'Entry Level', 'Junior Professional', 'Junior Professional', 'Senior Professional']",Entry Level,Junior Professional,Junior Professional,Senior Professional
STU_000048,18,Female,Tamil Nadu,Semi-Urban,<5 Lakhs,Commerce,62.19,80.72,State Board,Tier 1,,,,,300.0,4.1,6.9,6.0,5.4,4.6,4.4,5.0,3.5,3.2,1.7,1.4,3.0,2.7,1.4,4.1,4.2,Nearby States,2,4 years,Job,Medium,True,True,20,1,0,CS,"['CS', 'Entry Level', 'Junior Professional', 'Professional']",Entry Level,Junior Professional,Professional,Professional
STU_000049,18,Female,Rajasthan,Urban,10-20 Lakhs,Arts,72.91,70.35,State Board,Tier 1,,,,,700.0,6.6,4.3,6.9,8.0,4.9,3.4,3.0,2.3,3.6,2.4,3.2,2.2,3.2,3.9,2.9,5.0,Pan India,10,4 years,Job,Medium,True,False,0,1,1,Social Work,"['Social Work', 'Social Work', 'Junior Professional', 'Junior Professional']",Social Work,Junior Professional,Junior Professional,Junior Professional
STU_000050,16,Female,Delhi,Semi-Urban,20-50 Lakhs,Science-PCB,71.0,73.16,CBSE,Tier 3,,,,,,6.5,6.5,5.1,8.7,8.1,2.5,3.5,4.4,3.9,2.6,4.1,2.2,3.3,2.3,4.1,2.9,Pan India,15,5 years,Job,Low,True,True,10,1,0,Nursing,"['Nursing', 'Entry Level', 'Junior Professional', 'Junior Professional', 'Junior Professional']",Entry Level,Junior Professional,Junior Professional,Junior Professional
STU_000051,17,Female,Haryana,Rural,5-10 Lakhs,Science-PCB,73.29,66.72,CBSE,Tier 2,,,,,,6.5,5.6,7.4,2.8,6.1,4.5,2.8,2.8,3.3,2.3,4.2,2.0,3.5,3.4,2.9,1.0,Pan India,15,4 years,Business,Low,False,False,20,2,5,BDS,"['BDS', 'Entry Level', 'Junior Professional', 'Professional']",Entry Level,Junior Professional,Professional,Professional
STU_000052,16,Male,Andhra Pradesh,Urban,<5 Lakhs,Science-PCM,73.39,85.98,State Board,Tier 2,,,,,,5.0,8.6,5.8,4.8,5.1,4.6,5.0,1.8,1.4,2.3,2.8,3.7,2.8,2.1,3.4,3.2,Pan India,15,5 years,Job,High,False,False,0,2,0,B.Sc Physics,"['B.Sc Physics', 'B.Sc Physics', 'Junior Professional', 'Professional', 'Professional']",B.Sc Physics,Junior Professional,Professional,Professional
STU_000053,16,Male,Tamil Nadu,Rural,5-10 Lakhs,Science-PCM,84.27,71.39,State Board,Tier 2,,,,,402.0,4.5,6.6,6.9,7.2,6.1,3.1,2.0,3.3,1.4,1.0,3.2,3.8,1.6,2.2,3.9,5.0,Home State,5,5 years,Job,Low,False,True,20,0,0,Civil Engineering,"['Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Professional', 'Senior Professional']",Civil Engineering,Civil Engineering,Professional,Senior Professional
STU_000054,16,Male,Haryana,Rural,10-20 Lakhs,Science-PCM,78.58,70.46,CBSE,Tier 2,,,,,,6.1,7.6,6.8,8.7,4.5,3.6,1.5,2.2,4.4,1.9,1.8,1.1,2.8,3.0,1.9,3.2,Home State,2,4 years,Research,Low,True,True,0,1,0,Computer Science Engineering,"['Computer Science Engineering', 'Computer Science Engineering', 'Data Scientist', 'ML Engineer']",Computer Science Engineering,Data Scientist,ML Engineer,ML Engineer
STU_000055,18,Female,Karnataka,Urban,10-20 Lakhs,Commerce,83.34,74.15,State Board,Tier 2,,,,,434.0,5.2,7.0,7.4,5.7,4.1,2.8,3.2,3.4,3.1,3.1,2.7,3.2,3.5,4.3,4.7,2.3,Home State,10,5 years,Research,High,False,True,0,2,0,Economics,"['Economics', 'Entry Level', 'Junior Professional', 'Professional', 'Senior Professional']",Entry Level,Junior Professional,Professional,Senior Professional
STU_000056,17,Female,Delhi,Rural,<5 Lakhs,Commerce,72.45,66.05,CBSE,Tier 3,,,,,,7.6,6.6,7.9,5.2,5.3,3.7,2.4,4.1,2.6,1.6,3.4,2.0,5.0,4.8,3.8,3.8,Home State,2,5 years,Job,Low,True,False,0,2,0,BBA,"['BBA', 'Management Trainee', 'Business Analyst', 'Business Analyst', 'Senior Manager']",Management Trainee,Business Analyst,Business Analyst,Senior Manager
STU_000057,17,Female,Maharashtra,Rural,<5 Lakhs,Science-PCMB,78.82,79.14,CBSE,Tier 1,66.24,,,,,8.9,7.4,6.5,6.6,6.5,4.1,4.3,3.7,2.5,3.3,4.8,2.9,2.7,4.3,3.2,1.4,Abroad,2,4 years,Job,Medium,True,False,50,0,3,Bio-informatics,"['Bio-informatics', 'Bio-informatics', 'Junior Professional', 'Professional']",Bio-informatics,Junior Professional,Professional,Professional
